model_year,make,model,price,title,car_condition,cylinders,fuel,odometer,color,car_status,car_transmission,car_type,body_text,image_name,featured_car,on_sale,pct_off
2012,Jeep,Grand Cherokee 4X4 SUV,11999,"2012 Jeep Grand Cherokee 4X4 SUV leather interior, nav, cam, sunroof",Excellent,8,Gas,137941,Black,Clean,Automatic,SUV,"Stock#Z3135 immaculate, 4X4, loaded, beautiful SUV IS UP . Looks great, clean leather interior, smooth engine and transmission, freshinspection and emissions, alloy wheels, good tires, equipped with navigation, backup camera, sunroof, heated seats and much more. customers. With each passing day, rapidly adding countless happy customers to its having rating close to 5 one ownerfiveone owner stars. Prior to offer , our vehicles are thoroughly inspected by competent experts and if needed brought into compliance as well. Our prime focus in this essential area of life is to facilitate customers with quality vehicles at competitive prices. Continuously striving to provide full technical support to customers as per their requirement, help them to choose the appropriate vehicle which is best fit in their budget. Third-party Warranties are also offered if required by customers. Walk-ins and scheduled test drives are welcome one ownerMon-Satone owner 11.am to 6.pm, Sun Noon To 5PM. Listed price for vehicle doesnt include title/tax/registration/license,. available, terms, and conditions apply. Trade-ins welcome, always offer fair book value leesburg& VA, please make sure the of the vehicle before heading either of the lots. Work: - -",BK2012JEEPGRANDCHEROKEE4X4oneowner63.jpg,,,
2013,BMW,x5,8250,2013 BMW x5 excellent condition,Excellent,6,Gas,143000,Black,Clean,Automatic,SUV,"2013 BMW x5 all with powerful 3.0-liter 300-horsepower 24-valve inline engine and driven only $14,3000 miles. Car has been regularly maintained by the BMW dealership. Recently replaced brake pads and rotors, water pump, water valve, thermostat, oil pan gasket, oil filter gaskets and head cover gasket. No leaks whatsoever. Engine runs smooth. Black interior is in very good condition as well. Heated front seats, folding mirrors, fog lights, panorama roof, Bluetooth streaming.",BO2013BMWx5excellentcondit67.jpg,,,
2011,Hyundai,Sonata Hybrid Base 4dr Sedan,6999,2011 Hyundai Sonata Hybrid Base 4dr Sedan,Excellent,4,Hybrid,149272,Black,Clean,Automatic,Sedan,"Stock#LMC1717 mechaniy perfect, clean IN and out, nice and well kept, hyundai sonata hybrid sedan IS ON sale, clean leather interior 4 cylinder smooth hybrid engine good ON gas, automatic transmission shifts smooth 149K miles driven only fully detailed/cleaned freshstate inspection and emission power one ownerdoors, windows, steering, mirrors,one owner posh statr, etc Good tires, and alloy wheels, etc . Drives excellent competitive price.. For post id: posted: 11 days ago best of [?]",CY2011HyundaiSonataHybridBa103.jpg,,,
2021,Honda,Accord Sport Sedan,18000,2021 Honda Accord Sport Sedan,Excellent,4,Gas,20200,Blue,Rebuilt,Automatic,Sedan,"2021 Honda Accord Sport Special Edition, Fully Loaded with Leather Interior, Brake Assist, Adaptive Cruise Control with Low speed follow, Apple and Anroid Car Play, 19 Alloy wheels, 21k miles, Current Virginia Safety Inspection, Last Price, Non Negotiable Contact Leo at show contact info one owner or one owner",Z2021HondaAccordSportSedan26.jpg,,,
2018,Mazda,CX-5 AWD Touring SUV,21991,2018 Mazda CX-5 AWD Touring SUV,Excellent,4,Gas,28906,Blue,Clean,Automatic,Minivan,"Deep Crystal Blue Mica / Black body: SUV trans: Automatic AD ID: $9,910DA981 engine: 2.5 L 4 Cyl AWD MPG: 24 City /",FJ2018MazdaCX-5AWDAllWheelD166.jpg,,,
2019,BMW,530XI M Sport Package,26500,2019 BMW 530XI M Sport Package one ownerCLEAN CARFAXone owner,Like New,4,Gas,36000,Blue,Clean,Automatic,Sedan,"2019 BMW 530XI M Sport Package, dark blue exterior / black interior - all - Only 36,000 miles - second owner - Black Dakota Leather - Aluminum Rhombicle Interior - Heads up display - Premium Package 2 - M Sports Package - M Steering Wheel - Heating Steering Wheel and front/rear seats - Power tailgate - New this car was - New car window sticker still with car: shows all the features. No accidents.",CE2019BMW530XIMSportPackage83.jpg,,,
2017,Volvo,XC90 AWD XC 90 Electric Inscription SUV,25995,2017 Volvo XC90 AWD XC 90 Electric Inscription SUV,Excellent,4,Hybrid,51885,Blue,Clean,Automatic,SUV,"Magic Blue Metallic / Charcoal body: SUV trans: Automatic AD ID: 61F56A981 engine: 2.0 L 4 Cyl AWD,20852 Description: Panoramic Roof Magic Blue Metallic Leather Seats Navigation System 3rd Row Seat Keyless Start Rear Spoiler Cooled Front Seatone ownerSone owner Charcoal; Nappa Leather Seating SurfacesThank you for your interest in one of 's online offerings. Please continue for more information regarding this 2017 Volvo XC90 Inscription with 51,884mi. Do so much more with one vehicle. This Volvo XC90 gives you everything you need an automobile to be. You deserve a vehicle designed for higher expectations. This Volvo XC90 Inscription delivers with a luxurious, well-appointed interior and world-class engineering. When driving an all vehicle, such as this Volvo XC90 Inscription, superior acceleration, traction, and control come standard. One of the best things about this Volvo XC90 is that it has low, low mileage. It's ready for you to truly break it in. New vehicle pricing may already include applicable manufacturer incentives which may expire at any time & are subject to incentive qualification criteria & requirements. Manufacturer incentive data & vehicle features is provided by third parties & believed to be accurate as of the time of publication.. Vehicles may have unrepaired safety res.",GO2017VolvoXC90AWDAllWheelD197.jpg,,,
2019,Toyota,Highlander AWD Limited SUV,27428,2019 Toyota Highlander AWD Limited SUV,Excellent,6,Gas,71823,Blue,Clean,Automatic,SUV,",823 body: SUV trans: Automatic AD ID: 642A44CD5056A981 engine: 3.5 L 6 Cyl AWD MPG: 20 City /",AN2019ToyotaHighlanderAWDAl40.jpg,,,
2009,BMW,M3 Coupe,32750,2009 BMW M3 Coupe - New Rod Bearings - Full Maintenance,Good,8,Gas,77500,Blue,Clean,Automatic,Coupe,"2009 BMW M3 Coupe Lemans Blue - Black Interior $7,7300 miles. 7spd dct Clean & Clear Title No Accidents or Damage rod bearings have been replaced Full BE bearing kit installed, OEM bearings to show their wear as well. It was not bad, relatively speaking. But now you will have zero issue and never need to fix this issue yourself. If you are familiar with these cars, youll know all about this Evolve ecu tune Evolve downpipes H&R lowering springs Bilstein struts one ownerbrand newone owner gts style front lip Autotecknic magnetic shift paddles Konig Ampliform wheels H&R spacers Maintenance: Rod Bearings replaced with BE Bearing kit 74k miles Throttle body actuators replaced 74k miles Engine mounts replaced 74k miles Transmission mounts replaced 74k Spark plugs replaced 76k Ignition coils replaced 76k Valve cover gaskets replaced 76k Timing cover gaskets replaced 76k Radiator overflow hardline replaced Thermostat replaced 77k Front lower control arms replaced 76k Rear lower control arms replaced 76k dct serviced, new oil pan, gaskets, fluids, etc. 77k Engine oil pan & gasket one ownerall one unitone owner replaced 74k Oil filler cap replaced 77k air filters replaced 76k All 4 02 sensors replaced 77k Oil changed 77.5k miles one owneron one owner Rear brakes changed 77.5k milesone owneron one owner New tiresone ownerall 4one owner 77.5k miles Price is firm, car is fully maintained as of and will be 100% turn key for the buyer. Lowballs will be ignored. No trades with questions/set up test drives/etc",BI2009BMWM3Coupe-NewRodBear61.jpg,,,
2016,F-250,w/Boss plow Super crew Lariat,32500,2016 F-250 w/Boss plow Super crew Lariat one ownergarage keptone owner,Like New,8,Gas,85000,Blue,Clean,Automatic,Pickup,Original owner low miles,FL2016F-250wBossplowSuperc168.jpg,,,
2014,BMW,X3 2.8L Xdrive,8800,2014 BMW X3 2.8L Xdrive very clean low mileage well maintained,Like New,6,Gas,97000,Blue,Clean,Automatic,SUV,"2014 BMW X3 Xdrive 4X4 sport package / Eco pro SUV Very clean, well maintained, clean Carfax, clean history, in, Exterior: very clean and shiny light to blue exterior, not a dent or scratch. Interior: very nice clean interior, like you, white leather seats, automatic seats, heated seat seats, panorama Roof, moonlight, back up camera, Bluetooth, AC, radio, heat, windows everything work as it should be. Mechaniy: runs like new, no mechanical issue, no leak, no smoke, no hesitation, no light or messages on the dash, full of service on the time, bunch of service records, for new tires. Car has only. 96k miles on, books, two sets of key, original floor mats, bunch of service records Price is firm or nothing.",ES2014BMWX32.8LXdriveverycl149.jpg,,,
2014,BMW,335i xDrive Sedan,13200,2014 BMW 3 Series 335i xDrive Sedan 4D Heads up display Navigation,Excellent,6,Gas,100308,Blue,Clean,Automatic,Sedan,"2014 BMW 3 Series 335i xDRIVE Sedan Great Condition and Price 6-Cyl, 3.0 L, 100 k miles Clean Carfax & Title, Very well maintained, Drives very smooth! Leather Seats, Remote key, 4 Like new tires, Sunroof, Dual Power Seats Great mechanical conditions, runs and drives very smooth, New Detailing Extra Clean Interior New detailing, Newinspection, New oil change loaded with: Cold Weather Pkg, Navigation Heads up display Premium Pkg, Sport Pkg, Hill Descent Control, Traction Control, Stability Control, ABS one owner4-Wheelone owner, Air Conditioning, Power Windows, Power Door Locks, Cruise Control, Power Steering, Telescoping Wheel, AM/FM Stereo, CD/MP3 one ownerSingle Discone owner, Harman Kardon Sound, BMW Assist, Parking Sensors, Dual Air Bags, F&R Side Air Bags, Dual Power Seats, Leather, Moon Roof, Xenon Headlamps, Premium Wheels, and more Extended available UP TO 4 years. Payments and downpayment subject TO credit approval. Contact dealer for more info. These set prices are based on a one time payment in full with your own bank check, cashier check, credit card or cash. Annual Percentage Rate one owneraprone owner will vary per customer qualification. Deposits and/or down payments for our cars to hold for more than 48 hours is non-refundable. There's a one time of plus tags, tax, title. Some and conditions may apply for dealer arranged. Price does not include registration for dmv taxes, tags, title or. All advertised prices exclude government and taxes, any charges, any dealer document preparation charge, and any emission testing charge. Vehicle availability is not guaranteed and All vehicle details advertised are true to our best knowledge, but not guaranteed. It is the customer's sole responsibility to verify the existence and condition of any equipment listed. The dealership is not responsible for misprints on prices or equipment. It is the customer's sole responsibility to verify the accuracy of the prices with the dealer. Pricing are subject to change without notice. Any advertised down, monthly, bi-weekly, and weekly payments are estimated examples and / or approximate payments only and subject to credit check and approvals.",DP2014BMW3Series335ixDriveS120.jpg,,,
1998,BMW,Z3 Convertible,6750,1998 BMW Z3 Convertible,Excellent,4,Gas,104000,Blue,Clean,Automatic,Convertible,Excellent runs very well. Convertible,APRBMWZ31998ConvertibleforSa1110.jpg,,,
2008,Porsche,Cayenne,9500,Audi Q7 SUV Premium Plus,Good,6,Gas,105600,Blue,Clean,Automatic,SUV,"This is one of the best SUV it is so much fun. With horsepower of 280 horsepower,Engine 3.0T V6, Transmission 8 speed automatic, towing cap 5,500, AWD, Navigation system, fog lights, Premium Plus  package, mpg 19 city to 28 highway",CIAudiQ7SUVPREMIUMPLUSZYXWV87.jpg,,,
2013,Audi,Q7 SUV Premium Plus,9500,2013 Audi Q7 SUV Premium Plus,Good,6,Gas,105600,Blue,Clean,Automatic,SUV,"This is one of the best SUV it is so much fun. With horsepower of 280 horsepower,Engine 3.0T V6, Transmission 8 speed automatic, towing cap 5,500, AWD, Navigation system, fog lights, Premium Plus  package, mpg 19 city to 28 highway",SCAudiQ7SUVPREMIUMPLUSZYXWV497.jpg,,,
2016,Chevrolet,Traverse,8500,chevrolet traverse,Excellent,6,Gas,123774,Blue,Clean,Automatic,SUV,"Clean tittle, good condition, ready",DHchevrolettraverseZYXWVUTS112.jpg,,,
2016,Chevrolet,Traverse,8500,2016 Chevrolet Traverse,Excellent,6,Gas,123774,Blue,Clean,Automatic,SUV,"Clean tittle, good condition, ready",TBchevrolettraverseZYXWVUTS522.jpg,,,
2014,Subaru,Outback Limited AWD,7999,2014 Subaru Outback Limited AWD Navigation State inspected,Excellent,4,Gas,124000,Blue,Rebuilt,Automatic,SUV,"2014 Subaru Outback Limited AWD Maryland State Inspected 124k miles Eye Sight, Lane Departure Sunroof Leather seats heated front seats power seats Navigation If you have any further questions. Please to set up a time to come by.. Runs and drives excellent, everything works. Included in the price is a 30-day power train.",DI2014SubaruOutbackLimitedA113.jpg,,,
2003,Dodge,RAM 1500 SLT 4X4,7999,2003 Dodge RAM 1500 SLT 4X4 Low Miles,Excellent,8,Gas,125000,Blue,Clean,Automatic,Pickup,Please visit our showroom or call for questions or to see the vehicle.one ownerthis vehicle frame doadingone owner - Air Conditioning - Power Windows - Power Locks - Power Steering - Tilt Wheel - AM/FM Cassette - AM/FM CD - Dual Front Air Bag - Active Belts - Extended Cab - Regular Bed - Rear Wheel ABS - 1/2 TonTop Features 20 Inch Plus Wheels Cloth Seats 4WD/AWD Long Bed Alloy Wheels Tow Hitch Bed Liner Basic Features ABS Brakes Automatic Transmission Power Locks Power Windows AM/FM Stereo CD Audio Power Mirrors Air Conditioning Cruise Control Power Seatone ownersone owner,EC2003DodgeRAM1500SLT4X4LOW133.jpg,,,
2008,Audi,A5 Coupe,5995,2008 Audi A5 Coupe,Good,6,Gas,128911,Blue,Clean,Automatic,Coupe,"2008 Audi A5 Coupe - Year: 2008 Make:Audi Model:A5 Trim:Coupe Mileage:128,911",D2008AudiA5CoupeZYXWVUTSRQ4.jpg,,,
2018,Toyota,RAV4 AWD Electric RAV 4 Hybrid XLE SUV,16992,2018 Toyota RAV4 AWD Hybrid XLE SUV,Excellent,4,Hybrid,129970,Blue,Clean,Automatic,SUV,Galactic Aqua Mica / Ash body: SUV trans: Variable AD ID: 9A47AA981 engine: 2.5 L 4 Cyl AWD MPG: 34 City /,FF2018ToyotaRAV4AWDAllWheel162.jpg,,,
2015,Ford,E-350 15 Passenger,8999,2015 Ford E-350 15 Passenger,Good,,Gas,134000,Blue,Clean,Automatic,Truck,"Spacious, comfortable, and ready for family, work group or adventure! This 15-passenger van for the ultimate travel experience. With ample room for family, friends, or colleagues, enjoy the journey together in style and convenience. Revel in the convenience of a 10 screen and bluetooth connectivity for a seamless audio experience, and relish the privacy provided by its tinted windows. Your perfect ride awaits! Emission Passed Inspection Passed 10 touch screen New Carpet New Paint New Tires New Timing Belt Keyless Entry Tinted Windows New Custom Seat Covers only  please",XB15PassengerFordE-350ZYXWV626.jpg,,,
2023,Land Rover,Range Rover Evoque AWD SE SUV,37995,2023 Land Rover Range Rover Evoque AWD Certified SE SUV,Excellent,4,Gas,7350,Brown,Clean,Automatic,SUV,"Lantau Bronze Metallic / Ebony body: SUV trans: Automatic AD ID: 6E3D59E95056A981 engine: 2.0 L 4 Cyl AWD MPG: 20 City /,20852 Description: Sliding Panoramic Roof Cold Climate Pack Panoramic Roof Lantau Bronze Metallic Two-Zone Climate Control 12-Way Heated Front Driver & Rear Seats W/Memory Leather Seats Navigation System Wheels: 20 Gloss Dark Grey one ownerStyle $5,079 one owner Basic Rear Seat Convenience Pack Natural Gray Ash Veneer Garage Door Opener one ownerHomelinkone owner Front Fog Keeping Assist Emergency Pack Keyless Start Rear Spoiler Ebony; Duoleather Seat TrimThis vehicle and passed our precise inspection process. CarFax Clean CarFax owner. New vehicle pricing may already include applicable manufacturer incentives which may expire at any time & are subject to incentive qualification criteria & requirements. Manufacturer incentive data & vehicle features is provided by third parties & believed to be accurate as of the time of publication.. Vehicles may have unrepaired safety res.",AH2023LandRoverRangeRoverEv34.jpg,,,
2018,Toyota,Camry LE Hybrid,19995,Toyota Camry LE Hybrid,Excellent,,Hybrid,86540,Brown,Clean,Automatic,Sedan,Toyota Camry Hybrid is a great example of a clean vechicle. You can drive it home or across the country!,FVToyotaCamryLEHybridZYXWVU178.jpg,,,
2011,Mercedes-Benz,E-Class E 350 Sedan 4D,9995,2011 Mercedes-Benz E-Class E 350 Sedan 4D,Excellent,6,Gas,97592,Brown,Clean,Automatic,Sedan,"2011 Mercedes-Benz E-Class E 350 Sedan 4D Clean Carfax & Title, V6,, 3.5 Liter, Automatic, 5-Spd Leather Seats, Security Alarm System, 2Remote key fob, Towing Package Premium Sound system CD Changer, Sunroof, Back up Camera, Power liftgate Dual Power seats, Heated Seats, Dual A/C, Rear Climate Control, Excellent Mechanical conditions, Drives Very good, Newinspection EX-L edition, loaded with: Hill Start Assist Control, Traction Control, Stability Control, ABS one owner4-Wheelone owner, Anti-Theft System, Keyless Entry, Air Conditioning, Air Conditioning, Rear Power Windows, Power Door Locks, Cruise Control, Power Steering, Tilt & Telescoping Wheel, AM/FM Stereo, CD/MP3 one ownerSingle Discone owner, Premium Sound, XM Satellite, Bluetooth Wireless, Backup Camera, Dual Air Bags, Side Air Bags, F&R Head Curtain Air Bags, Heated Seats, Dual Power Seats, Leather, Third Row Seat, Moon Roof, Daytime Running Lights, Fog Lights, Premium Wheels, and more Sun: To extended available UP TO 4 years. Payments and downpayment subject TO credit approval. Contact dealer for more info. These set prices are based on a one time payment in full with your own bank check, cashier check, credit card or cash. The amount specified in this ad is a price for the vehicle, the price may change upon or other conditions. The down payment may vary depending on the qualified customer. Annual Percentage Rate one owneraprone owner will vary per customer qualification. Deposits and/or down payments for our cars to hold for more than 48 hours is non-refundable. There's a one time of plus tags, tax, title. Price does not include registration for dmv taxes, tags, title or. All advertised prices exclude government and taxes, any charges, any dealer document preparation charge, and any emission testing charge. Vehicle availability is not guaranteed and All vehicle details advertised are true to our best knowledge, but not guaranteed. It is the customer's sole responsibility to verify the existence and condition of any equipment listed. The dealership is not responsible for misprints on prices or equipment. It is the customer's sole responsibility to verify the accuracy of the prices with the dealer. Pricing are subject to change without notice. Any advertised down, monthly, bi-weekly, and weekly payments are estimated examples and / or approximate payments only and subject to credit check and approvals.",DO2011Mercedes-BenzE-ClassE119.jpg,,,
2006,Honda,ACCORD,5500,2006 HONDA ACCORD 5500,Excellent,4,Gas,142000,Brown,Clean,Automatic,Sedan,"This 2006 Honda Accord is Maryland state inspected runs and drives great. The Engine and Transmission are in great shape. The suspension and brakes are both in good shape. Overall, The car is in Great Condition but has normal wear and tear since the car is 18 years old 2006 Honda Accord Brown With tan Interior Aux ready, Power look, Power windows, 142,000 miles, leather seats, XM Radio ,",FT2006HONDAACCORDMARYLANDST176.jpg,,,
2019,Ford,F-250 King Ranch Ultimate F250,49995,2019 Ford F-250 King Ranch Ultimate F250 Diesel,Like New,8,Diesel,52254,Custom,Rebuilt,Automatic,Pickup,"This truck IS not black, exterior IS dark burgundy/dark maroon IN sunlight. options available Also, welcome to bring your own, our customers bring credit union checks weekly without issue. Rebuilt Title.theft recovery / non collision recovered W/ NO damage. 100 Pictures here: one ownerlast one owner ford F-250 6.7 diesel /4X4 king ranch ultimate panoramic sunroof power runing boards heated/cooled seats heated rear seats 360 keep assist adaptive steering ultimte trailer tow camera ON for upcoming cool cars and trucks! Shipping Ballpark: TO texas f150 f250 f350 f450 f-150 f-250 f-350 f-450 ram silverado sierra 1 3500 cummins powerstroke duramax denali high country titan tundra tacoma frontier $96,899CAA5056A981",Q2019FordF-250KingRanchUlt17.jpg,,,
2024,BMW,X1 AWD xDrive28i SUV,41903,2024 BMW X1 AWD xDrive28i SUV,Excellent,4,Gas,7785,Green,Clean,Automatic,SUV,"Cape York Green / Oyster body: SUV trans: Automatic AD ID: 6EA981 engine: 2.0 L 4 Cyl AWD MPG: 25 City /,20852 Description: Navigation System Keyless Start Rear 2024 BMW X1. As a compact SUV, this vehicle packs all the performance of a full-size into a package that easily navigates the urban terrain. You appreciate the finer things in life, the vehicle should not be the exception. Style, performance, sophistication is in a class of its own with this stunning BMW X1 xDrive28i. The less money you spend at the pump, the more money you'll have to spend on you. So why not consider this wonderfully styled, ;Fuel-efficient BMW X1. Comfort. Performance. Safety. Enjoy all three with this well-appointed AWD 2024 BMW. With an efficient and easy to use navigation system, this BMW X1 will help get you from Point A to Point B in no time flat. New vehicle pricing may already include applicable manufacturer incentives which may expire at any time & are subject to incentive qualification criteria & requirements. Manufacturer incentive data & vehicle features is provided by third parties & believed to be accurate as of the time of publication.. Vehicles may have unrepaired safety res.",AC2024BMWX1AWDAllWheelDrive29.jpg,,,
2024,BMW,5 Series AWD Electric 530i xDrive Sedan,50993,2024 BMW 5 Series AWD Certified Electric 530i xDrive Sedan,Excellent,4,Hybrid,9403,Green,Clean,Automatic,Sedan,"Cape York Green Metallic / Smoke White body: Sedan trans: Automatic AD ID: 6E4496BE5056A981 engine: 2.0 L 4 Cyl AWD MPG: 27 City /,20852 Description: Premium Package Cape York Green Metallic Sun/Moonroof BMW Iconic Glow Kidney Grille Navigation System Remote Engine Keeping Assist Keyless Start Heads-Up Display Fine Wood Dark Oak High Gloss Trim Full Led Lights W/Cornering Lights Heated Steering Wheel Smoke White; Veganza Perforated & Quilted Upholstery Wheels: 19 X 8.5 Light-Alloy Triplex-SpokeThis outstanding example of a 2024 BMW 5 Series 530i xDrive is. This BMW includes: cape york green metallic wheels: 19 Aluminum Wheels full LED lights W/cornering lights Automatic Highbeams LED Headlights premium package Remote Engine Start Automatic Parking Heated Steering Wheel Aerial Display System LED Headlights Heated Front Seatone ownersone owner Heads-Up Display fine wood dark oak high gloss trim Woodgrain Interior Trim remote engine start Remote Engine Start smoke white, veganza perforated Premium Synthetic Seats heated steering wheel one ownerdiscone owner Heated Steering Wheel BMW iconic glow kidney grille Note - For third party subscriptions or services, please contact the dealer for more information. As a Certified Pre-Owned vehicle, this BMW 5 Series 530i xDrive offers you the peace of mind because you know it has been rigorously inspected to meet exacting standards. Put performance, safety, beauty, sophistication and all the right amenities into a car, and here it is! Now you can own luxury without the luxury price tag! The BMW 5 Series 530i xDrive is economiy and environmentally smart. BMW clearly delivers on its promise to provide a ;Fuel-efficient vehicle that has the great qualities you need in a vehicle. Enjoy safety and stability with this all- vehicle with confidence in any condition. New vehicle pricing may already include applicable manufacturer incentives which may expire at any time & are subject to incentive qualification criteria & requirements. Manufacturer incentive data & vehicle features is provided by third parties & believed to be accurate as of the time of publication.. Vehicles may have unrepaired safety res.",AD2024BMW5SeriesAWDAllWheel30.jpg,,,
2010,Ford,Fusion,5700,2010 Ford Fusion,Excellent,4,Gas,84000,Green,Clean,Automatic,Sedan,"2010 Ford Fusion sel with only 84k miles and a. Tan interior with heated seats, run roof, Bluetooth compatible and keyless entry. This car has been in one family since brand new so its been taken care of. Up to date with all maintenance, and only 2 owners.",AK2010FordFusionZYXWVUTSRQP37.jpg,,,
2003,Hummer,h2,12000,2003 Hummer h2,Good,8,Gas,141000,Green,Clean,Automatic,SUV,In great condition drives great will pass inspection and is ready to be driven immediately.,GA2003Hummerh2ZYXWVUTSRQPON183.jpg,,,
2020,Audi,Q3 S-Line Premium,22000,2020 Audi Q3 S-Line Premium - black trim,Excellent,4,Gas,38500,Grey,Clean,Automatic,SUV,"2020 Audi Q3 Premium S-line with black rims, trim and interior. Nice chronos grey color Only $3,8500 miles Audi expired 3/2024 Vehicle has hail damage that is mostly on hood and some on roof. Tried to show in pictures. and in excellent like new condition. All Quattro Panoramic Sunroof Apple & Android Departure Warning Parking Sensors Leatherette Seats - power driver seat Front Seat Heaters Heated mirrors Rain Sensing Wipers Rear Camera Automatic High beams Hands-Free Power Liftgate Integrated Turn Signal Mirrors LED Headlights Privacy rear Glass / Front tinted windows",DB2020AudiQ3S-LinePremium-b106.jpg,,,
2016,Toyota,Camry LE,15950,2016 Toyota Camry LE,Good,4,Gas,51445,Grey,Lien,Automatic,Sedan,2016 Toyota Camry LE Gray interior and exterior Good condition Low mileage Carfax available Tony show contact info,CA2016ToyotaCamryLEZYXWVUTS79.jpg,,,
2014,Acura,ILX 2.0L w/Technology Package,13500,2014 Acura ILX 2.0L w/Technology Package,Excellent,4,Gas,66000,Grey,Clean,Automatic,Sedan,"Condition: This Acura ilx is in excellent mechanical condition and runs smoothly with no issue. It has been regularly maintained and cared for with oil changes and required maintenances. AC and Heater works perfectly great and so does every other feature that the car is equipped with. Safety inspection is valid till Jan $2,026. New Continental tires installed at 63,500 miles one owneronly 2,500 miles on them!one owner. Wheel were aligned at the same time, so you'll enjoy a quiet and comfortable ride with these fresh tires. Maintenance paperwork, if you want to see it. Cosmetic Notes: There are some cosmetic imperfections on the exterior at the driver's side. Those minor dings are due to other car doors hitting. These do not affect the car's performance or functionality, and are minor. Mileage: Currently at 66,000 miles. Additional Information: - oem ilx All-weather mats throughout the car to protect the interior. -. - Comes with two keys - Well-maintained and ready for its new owner!",AZ2014AcuraILX2.0LwTechnolo52.jpg,,,
2008,Chevrolet,Trailblazer LT1 4X4,10999,2008 Chevrolet Trailblazer LT1 4X4 Low Miles,Excellent,8,Gas,72000,Grey,Clean,Automatic,SUV,"You will leave with the vehicle you want, but most importantly, you will leave with a smile!Please visit our showroom or call for questions or to see the vehicle.4X4 Anti-Theft System Black Roof Rack Connected Car Cruise Control Curtain Airbags Dual-Zone Climate Control Electronic 4WD Selector Electronic Traction Control Fog Lights Front Bucket Seats On Demand 4WD Power Seats Satellite Radio Stability Control Tire Pressure Monitoring System Trailer Hitch Trailer Wiring Vinyl Steering Wheel",A2008ChevroletTRAILBLAZERL1.jpg,,,
2018,Mercedes,Sprinter 2500,19990,2018 Mercedes Sprinter 2500 86k mil,Excellent,6,Diesel,86597,Grey,Clean,Automatic,Minivan,"Year: 2018 Make: Mercedes Model: Sprinter $2,500 Engine: 3.0D Mileage: 86597 Color: Gray Interior: Black 1 owner, runs and drives great, NO issues, ready TO GO!",ET2018MercedesSprinter25008150.jpg,,,
2017,Chevrolet,Colorado CrewCab 4x4,14500,2017 Chevrolet Colorado CrewCab 4x4 V6 95k miles Inspected,Excellent,6,Gas,95000,Grey,Rebuilt,Automatic,Pickup,"State Inspected. V6 Crew Cab Maryland State Inspected Backup Camera tonneau cover bed liner alloy Wheels 60 days or 2000 miles power train Transcript,. on link . If you have any further questions. Please to set up a time to come by.. Runs and drives excellent, everything works. Included in the price is a 30-day power train.",DX2017ChevroletColoradoCrew128.jpg,,,
2013,Jeep,Grand Cherokee Limited Sport Utility 4WD Flex Fuel,10995,2013 Jeep Grand Cherokee Limited Sport Utility 4D 4WD Flex ;Fuel,Good,6,Gas,97296,Grey,Clean,Automatic,SUV,"2013 Jeep Grand Cherokee Limited Sport 4WD Sport Utility 4D Great Condition & Price Clean Carfax and title, no accident, always owned in Virginia, V6 3.6 L Automatic, 6-Spd Cloth seats, Power Seat, Heated Seats, Remote key fob, Remote Starter, Alarm security system, CD Player, Premium Sound system, 20 Inch Wheels, Newinspection, Great Mechanical Conditions, Drives Very smooth LT loaded with: Power Door Locks, Air Conditioning, CD/MP3 one ownerSingle Discone owner, Dual Air Bags, Power Steering, Cruise Control, Air Conditioning, Rear, Towing Pkg, Daytime Running Lights, AM/FM Stereo, F&R Side Air Bags, Hill Descent Control, Tilt & Telescoping Wheel, F&R Head Curtain Air Bags, Anti-Theft System, Hill Start Assist Control, Knee Air Bags, Selec-Terrain Traction, Off-Road Group, Rollover Mitigation, Keyless Entry, Navigation, Backup camera, SiriusXM Satellite, Electronic Stability Control, Fog Lights, Power Windows, Alloy Wheels, Automatic, 9-Spd, ABS one owner4-Wheelone owner, 4WD, V6, 3.2 Liter, Bluetooth Wireless, Uconnect more.. Extended available UP TO 4 years. Payments and downpayment subject TO credit approval. Contact dealer for more info. These set prices are based on a one time payment in full with your own bank check, cashier check, credit card or cash. The down payment may vary depending on the qualified customer. Annual Percentage Rate one owneraprone owner will vary per customer qualification. Deposits and/or down payments for our cars to hold for more than 48 hours is non-refundable. There's a one time of plus tags, tax, title. Some and conditions may apply for dealer arranged. Price does not include registration for dmv taxes, tags, title or. All advertised prices exclude government and taxes, any charges, any dealer document preparation charge, and any emission testing charge. Vehicle availability is not guaranteed and All vehicle details advertised are true to our best knowledge, but not guaranteed. It is the customer's sole responsibility to verify the existence and condition of any equipment listed. The dealership is not responsible for misprints on prices or equipment. It is the customer's sole responsibility to verify the accuracy of the prices with the dealer. Pricing are subject to change without notice. Any advertised down, monthly, bi-weekly, and weekly payments are estimated examples and / or approximate payments only and subject to credit check and approvals.",EZ2013JeepGrandCherokeeLimi156.jpg,,,
2016,Nissan,Versa,5100,Nissan Versa sv,Excellent,4,Gas,99600,Grey,Clean,Automatic,Sedan,"2016 Nissan Versa SV 1.6l automatic, Navigation, toch schreen, back up camera. Second owner ! 4 cylinders, super economic ! New battery! Just passedIs safety inspection and Emission, Car is good to go. Clean and clear Carfax, one owner never been in any type accidentone owner. Runs great no problems.  ! one owner no personal checks, Cashier checks, money orders, zelle, app, etc one owner Price is firm !",BSNissanVersasvZYXWVUTSRQPO71.jpg,,,
